CX Calls Call Started Date,CX Calls Call Started Hour of Day,calls,emails,chats,sms,orders
1/12/2016,19,0,2001,169,0,961
1/12/2016,21,0,1097,1,0,633
1/12/2016,12,0,3429,337,0,1229
1/12/2016,14,0,5425,285,0,1173
1/12/2016,9,0,1425,129,0,329
1/13/2016,7,0,245,0,0,33
1/13/2016,13,0,2869,217,0,961
1/13/2016,17,0,2557,245,0,1369
1/13/2016,6,0,273,0,0,21
1/13/2016,18,0,1985,217,0,1129
1/13/2016,3,0,53,0,0,9
1/13/2016,20,0,1009,129,0,625
1/13/2016,16,0,2549,185,0,1305
1/13/2016,12,0,2785,313,0,993
1/13/2016,23,0,661,0,0,253
1/13/2016,4,0,165,0,0,21
1/13/2016,15,0,2973,221,0,1425
1/13/2016,11,0,2861,237,0,813
1/13/2016,21,0,1125,5,0,497
1/13/2016,1,0,389,0,0,101
1/13/2016,8,0,509,0,0,121
1/13/2016,0,0,521,0,0,157
1/13/2016,10,0,2049,261,0,601
1/13/2016,22,0,1061,0,0,497
1/13/2016,9,0,1837,169,0,365
1/13/2016,14,0,5877,233,0,1209
1/13/2016,19,0,1589,173,0,953
1/13/2016,5,0,137,0,0,13
1/13/2016,2,0,205,0,0,61
1/14/2016,6,0,177,0,0,21
1/14/2016,15,0,2949,269,0,1133
1/14/2016,17,0,3041,189,0,1225
1/14/2016,3,0,133,0,0,37
1/14/2016,5,0,97,0,0,9
1/14/2016,7,0,313,0,0,41
1/14/2016,8,0,557,0,0,137
1/14/2016,10,0,1881,221,0,505
1/14/2016,4,0,113,0,0,37
1/14/2016,20,0,1145,129,0,689
1/14/2016,23,0,657,0,0,281
1/14/2016,16,0,2905,201,0,1153
1/14/2016,0,0,441,0,0,181
1/14/2016,2,0,157,0,0,41
1/14/2016,21,0,1253,1,0,477
1/14/2016,11,0,2861,229,0,885
1/14/2016,14,0,3581,265,0,1125
1/14/2016,19,0,1281,161,0,1029
1/14/2016,13,0,3229,209,0,1145
1/14/2016,9,0,2233,197,0,381
1/14/2016,1,0,197,0,0,117
1/14/2016,12,0,2397,209,0,969
1/14/2016,18,0,1877,181,0,1069
1/14/2016,22,0,857,0,0,369
1/15/2016,15,0,2365,189,0,1289
1/15/2016,12,0,2253,185,0,1033
1/15/2016,2,0,129,0,0,37
1/15/2016,6,0,45,0,0,37
1/15/2016,20,0,937,125,0,581
1/15/2016,21,0,685,1,0,445
1/15/2016,19,0,1209,145,0,941
1/15/2016,16,0,2685,225,0,1521
